"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工","日新增案例-7日簡單平均線"
"8",2021-04-01,183.944285714286,1880.16,278.202857142857,595.947142857143,256.041428571429,65.5171428571429,50.5614285714286,360.525714285714,121.77,333.577142857143,346.185714285714,357.607142857143,112.092857142857,108.797142857143,1388.69142857143,281.788571428571,343.367142857143,118.495714285714,73.0714285714286,125.78,405.87,142.68,46.8742857142857,128.97,175.744285714286,160.2,134.727142857143,114.358571428571,112.192857142857,824.935714285714,688.58,932.045714285714,3.42857142857143
"9",2021-04-02,184.395714285714,1885.28628571429,278.630857142857,595.732285714286,256.571714285714,65.6154285714286,51.0957142857143,363.014,122.427428571429,336.741428571429,346.377142857143,358.228571428571,113.188857142857,108.824285714286,1390.79571428571,281.792285714286,344.855428571429,118.839142857143,73.07,125.779714285714,407.298857142857,143.174857142857,47.0057142857143,129.103714285714,176.091428571429,160.575142857143,134.901428571429,113.991428571429,112.355714285714,827.134285714286,690.979428571429,934.390857142857,3.71428571428571
"10",2021-04-03,184.799047619048,1889.92457142857,278.966380952381,595.779238095238,257.038476190476,65.6791428571429,51.7395238095238,365.260095238095,123.075619047619,339.59380952381,346.557142857143,358.925714285714,114.24419047619,108.877619047619,1392.49,281.833047619048,346.09819047619,119.18219047619,73.0347619047619,125.814857142857,408.694666666667,143.550761904762,47.0890476190476,129.21019047619,176.490952380952,160.922571428571,135.052380952381,113.577142857143,112.492857142857,829.18,693.411142857143,936.375428571429,3.57142857142857
"11",2021-04-04,185.154285714286,1894.07485714286,279.209428571429,596.088,257.441714285714,65.7082857142857,52.4928571428571,367.264,123.714571428571,342.134285714286,346.725714285714,359.698571428571,115.258857142857,108.957142857143,1393.77428571429,281.910857142857,347.095428571428,119.524857142857,72.9657142857143,125.885428571429,410.057428571429,143.807714285714,47.1242857142857,129.289428571429,176.942857142857,161.242285714286,135.18,113.115714285714,112.604285714286,831.072857142857,695.875142857143,937.999428571429,3.57142857142857
"12",2021-04-05,185.461428571429,1897.73714285714,279.36,596.658571428571,257.781428571429,65.7028571428572,53.3557142857143,369.025714285714,124.344285714286,344.362857142857,346.882857142857,360.547142857143,116.232857142857,109.062857142857,1394.64857142857,282.025714285714,347.847142857143,119.867142857143,72.8628571428572,125.991428571429,411.387142857143,143.945714285714,47.1114285714286,129.341428571429,177.447142857143,161.534285714286,135.284285714286,112.607142857143,112.69,832.812857142857,698.371428571429,939.262857142857,3.57142857142857
"13",2021-04-06,185.69,1897.88,279.69,597.094285714286,258.172857142857,65.74,54.31,370.757142857143,124.874285714286,346.221428571429,347.064285714286,361.267142857143,117.368571428571,108.974285714286,1394.71571428571,281.697142857143,347.878571428571,120.07,72.7528571428572,126.121428571429,412.75,143.875714285714,47.0285714285714,129.422857142857,177.611428571429,161.668571428571,135.388571428571,111.998571428571,112.704285714286,834.248571428571,700.768571428572,940.674285714286,3.71428571428571
"14",2021-04-07,185.557142857143,1898.32428571429,279.74,597.527142857143,259.611428571429,65.8814285714286,55.0342857142857,372.057142857143,125.895714285714,347.512857142857,347.301428571429,362.045714285714,118.41,108.932857142857,1394.81,281.73,348.14,120.334285714286,72.7457142857143,126.324285714286,415.044285714286,143.951428571429,47.2057142857143,129.595714285714,178.145714285714,162.19,135.521428571429,112.03,112.825714285714,837.744285714286,701.585714285715,941.445714285714,2.85714285714286
"15",2021-04-08,185.622857142857,1900.33714285714,279.934285714286,600.755714285714,261.577142857143,66.2,55.5814285714286,374.944285714286,127.827142857143,350.292857142857,347.905714285714,362.841428571429,119.382857142857,109.097142857143,1394.09714285714,281.825714285714,348.628571428571,120.704285714286,72.6885714285714,126.584285714286,416.664285714286,144.131428571429,47.52,129.682857142857,178.585714285714,162.662857142857,135.711428571429,112.258571428571,112.957142857143,840.562857142857,702.744285714286,943.08,2
"16",2021-04-09,185.592857142857,1901.52228571429,280.986285714286,603.744857142857,263.088285714286,66.4631428571429,55.9142857142857,376.041714285714,129.524,354.435714285714,348.197142857143,363.317142857143,119.799714285714,109.147142857143,1392.67714285714,282.077714285714,349.427428571429,121.078,72.6642857142857,126.787428571429,417.678285714286,144.245142857143,47.8514285714286,129.864857142857,178.722857142857,162.794857142857,135.897142857143,112.205714285714,113.115714285714,842.317142857143,703.223428571429,947.154857142857,2.14285714285714
"17",2021-04-10,185.614761904762,1902.45923809524,282.233142857143,607.097428571428,264.584857142857,66.8265714285714,56.1761904761905,378.650380952381,131.504857142857,358.87380952381,348.394761904762,363.632857142857,120.480095238095,109.148571428571,1392.36285714286,282.368380952381,350.369428571429,121.513523809524,72.6842857142857,126.977047619048,418.262952380952,144.328761904762,48.2485714285714,129.989333333333,178.674761904762,162.884095238095,136.065714285714,112.122857142857,113.337142857143,843.439523809524,703.748380952381,951.876476190476,1.57142857142857
