"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工"
"8",2021-04-01,-0.00521885347758033,-0.00620071263812694,-0.00444094992458677,-0.00434757749596226,0.00900713788322527,-0.00258929396054519,0.0268693075479067,0.00808659198516182,0.00234732391563064,-0.00859720659771845,-0.00227846374437046,-0.00047230750874494,0.0230712748353143,-0.006601894508516,-0.000838436258095321,-0.00180758170041084,-0.000517702562685685,0.00133902438619504,0.00123397561418059,-0.00119222682325315,0.0208924671430939,0.00111374089195948,-0.00127523928015227,0.000309693406006062,0.00702791375987033,0.00235922379247899,0.00731521346853992,-0.013821611980279,0.00133256360499789,0.0130147903317726,-0.00110490113766826,-0.00378177000574542
"9",2021-04-02,0.00043145292439295,0.000963447186877353,0.00152790609790276,0.00179167842097883,0.00159797727021793,0.00103652225608375,0.0183317993817078,0.00463660046553205,0.00461380440318404,0.00404640815273627,0.00083700127550479,0.00180467877119028,0.00446570623486764,0.000735699867650652,-0.00010754268558788,-0.000439984678600069,0.000339413048799919,0.00203856635782085,-0.00137117805659948,0.00133519857069064,0.00323477123842864,0.000514685948611593,0,0.00089756888676451,0.00191841169257589,0.00133855555160434,-0.00103123167653862,0.00170457135427871,0.000355050598439988,0.00247477300741483,0.00277571657171816,0.00160606970908628
"10",2021-04-03,0.000431266853045287,0.000962519849764476,0.0015255751618577,0.00178847404976157,0.00159542781229671,0.00103544899006547,0.0180017851916801,0.00461520158157125,0.00459261493874052,0.0040301006982526,0.00083630129021639,0.0018014277718521,0.00444585233154271,0.000735159011239439,-0.000107554252260833,-0.000440178350332054,0.000339297886669421,0.00203441905813762,-0.00137306076768873,0.00133341819236144,0.00322434122311321,0.000514421183250846,0,0.000896763979264747,0.00191473843485035,0.0013367662154975,-0.00103229621318679,0.00170167073439043,0.000354924582253169,0.0024686636222091,0.00276803329092257,0.00160349438477336
"11",2021-04-04,0.000431080942122186,0.000961594296095214,0.00152325132701847,0.00178528111995746,0.0015928864763719,0.00103437794437156,0.0176834432009509,0.00459399931122295,0.00457161921530336,0.00401392415789559,0.000835602474749564,0.00179818846433921,0.00442617418246449,0.000734618949474353,-0.000107565821422462,-0.00044037219264137,0.000339182802659543,0.00203028859889809,-0.00137494865604371,0.00133164255568996,0.00321397825159586,0.0005141566901532,0,0.000895960514094796,0.0019110792169057,0.00133498165685531,-0.00103336294994172,0.00169877996953538,0.000354798655486377,0.00246258432678381,0.0027603924279207,0.0016009273062787
"12",2021-04-05,0.00043089519141315,0.000960670520731455,0.00152093456098257,0.00178209957039677,0.00159035322369405,0.00103330911212041,0.0173761649077466,0.00457299095713726,0.00455081458781947,0.00399787696152032,0.000834904826168881,0.0017949607856913,0.00440666946414936,0.00073407968060657,-0.000107577393073655,-0.000440566205750947,0.000339067796693016,0.0020261748777326,-0.00137684174304553,0.00132987164175624,0.00320368167951912,0.000513892468894994,0,0.000895158487383085,0.00190743395840265,0.00133320185656771,-0.00103443189362995,0.0016958990095759,0.000354672818047241,0.00245653489939368,0.00275279363241054,0.00159836843406058
"13",2021-04-06,0.000430709600714785,0.000959748518551073,0.00151862483154552,0.00177892934034585,0.00158782801575885,0.00103224248645972,0.0170793833858633,0.00455217387107609,0.00453019845916725,0.00398195756399389,0.000834208341558451,0.00179174467340371,0.00438733589388818,0.000733541202889931,-0.000107588967213523,-0.000440760389885497,0.000338952868689013,0.00202207779310903,-0.00137874005020056,0.001328105431746,0.00319345087074652,0.000513628519062337,0,0.000894357895268705,0.00190380257961298,0.00133142679562948,-0.00103550305110822,0.00169302780471092,0.000354547069837174,0.0024505151204588,0.00274523655793502,0.00159581772883488
"14",2021-04-07,-0.00193965578053845,0.00302475168780969,-0.00192540885268411,0.000483401824670437,0.0217126573420092,0.0123644518508863,-0.0206374728895096,-0.0064024120956363,0.0311188081540053,0.0143348230191922,0.00287125498739105,0.00650591805748402,0.0167987318337142,0.000274939285973552,0.00184891948243049,0.00482355962722014,0.00406993969653602,0.00388350002639815,0.00495459312468327,0.00575053772639489,0.00215197825863367,0,0.0272725105146359,0.00453655001240794,0.00446528984848094,0.0134000230655289,0.00472499956219519,0.00727404963750899,0.00442126460767689,0.00405511713169826,-0.00452743128882904,0.00150235962154088
"15",2021-04-08,0.00226256628331711,-0.000414312129800365,-0.000821208650989114,0.0279042014092639,0.0223572916095165,0.0159075680308343,0.00266975329883046,0.0369629280686343,0.0497563037879454,0.020806774874246,0.00509052490584239,-0.000136819494255036,0.0178182074113202,0.00657596670562111,-0.00489489884896965,-0.00024770431309129,0.00402495440826023,0.00739466026679203,-0.00357585307448272,0.00196178506830247,0.00898807648707489,0.00615684557030427,0.0184544913363505,-0.00430538067984365,0.00322491244186551,0.000243087208732895,0.0101858499825296,-0.00150369317617205,0.00193918086329781,0.00708649992166954,0.00230175859286241,0.00262898259925581
"16",2021-04-09,-0.00317982428595709,-0.00208465231095811,0.0227077824544493,-0.000989079669110993,-0.0102595392397857,-0.0047309372685822,-0.00946520148026586,-0.0283027889425425,-0.00782883091327857,0.0297238703914831,-0.00543464053208709,-0.00436065140767639,-0.0276803020122784,-0.00657596670562111,-0.00367613022382596,0.00342702025947972,0.00650265662202276,0.00220777717544696,0.00178952487704098,-0.00180470055651227,-0.00691222362820998,-0.00269327879387316,0.0024350661383008,0.00599172172027984,-0.00993034659632119,-0.0132735838797142,-0.00124019713142065,-0.0158818470236799,0.00202331276414647,-0.00635311924058524,-0.00401018725441293,0.0194122053667138
"17",2021-04-10,0.00239030334058477,4.55552129254855e-05,0.0062307666289998,0.00583922013046134,0.00115342412281549,0.0113461763873017,0.00845746554033422,0.0320783535404798,0.0186295593009813,0.00921935914004557,-0.00105219871391338,-0.00129264721859457,0.0195189834453346,-0.0023853222319099,0.00546604893335267,0.000517154252777985,0.00316500673960718,0.00551175015049399,0.00288402314849634,0.000575765522317084,-0.00399647059694264,-0.000945517510626104,0.00927987292939658,-0.00219791542171777,-0.00537812013172712,-0.000513267988479171,-0.00189975214230831,-0.000179888469634015,0.0042094247897051,-0.00279840803717502,0.00321038219382874,0.00622003682375549
