"","BTC","Oil","Gold","new_cases","total_cases","BTC_ROC","Oil_ROC","Gold_ROC","BTC_7MA","Oil_7MA","Gold_7MA","new_cases_7MA","new_cases_ROC"
"2020-01-01",7200.174316,61.1200005,1522,0,0,0.000913616639323322,0.000982149354828543,0.00164392606478359,7279.49525657143,61.5228576428571,1515.34287814286,0,0
"2020-01-02",6985.470215,61.18,1524.5,0,0,-0.0302729280174034,0.000981185683863295,0.00164122800667776,7243.28145914286,61.4514290714286,1517.51429971429,0,0
"2020-01-03",7344.884277,63.049999,1549.199951,0,0,0.0501717458908626,0.0301077078277432,0.0160721495830591,7251.10944457143,61.6414287857143,1522.57142857143,0,0
"2020-01-04",7410.656738,63.1233326666667,1554.86661766667,0,0,0.00891500983274618,0.00116242749486872,0.00365112850280891,7264.34751657143,61.8438095476191,1528.4047502381,0,0
"2020-01-05",7411.317383,63.1966663333333,1560.53328433333,0,0,8.91439959396223e-05,0.00116107782592856,0.0036378462439961,7262.72816671428,62.0585713571429,1535.01426471429,0,0
"2020-01-06",7769.219238,63.27,1566.199951,0,0,0.0471614671741616,0.0011597312874958,0.00362466027274877,7330.760184,62.2857142142857,1542.399972,0,0
"2020-01-07",8163.692383,62.700001,1571.800049,0,0,0.0495268893855734,-0.00904981957095519,0.00356921857560177,7469.34493571428,62.5199999285714,1549.87140757143,0,0
"2020-01-08",8079.862793,59.610001,1557.400024,0,0,-0.010321673221906,-0.0505381015802939,-0.00920371105333917,7595.01471814286,62.3042857142857,1554.92855385714,0,0
"2020-01-09",7879.071289,59.560001,1551.699951,0,0,-0.0251648511262186,-0.000839137401944079,-0.00366670704201599,7722.67201442857,62.0728572857143,1558.81426114286,0,0
"2020-01-10",8166.554199,59.040001,1557.5,0,0,0.0358370170384728,-0.00876902737571417,0.00373089915043945,7840.05343185714,61.5000004285714,1559.99998242857,0,0
"2020-01-11",8037.537598,58.7200013333333,1554.46667466667,0,0,-0.0159242898612195,-0.005434790216996,-0.00194945936836532,7929.60784042857,60.8709530952381,1559.94284771429,0,0
"2020-01-12",8192.494141,58.4000016666667,1551.43334933333,0,0,0.0190956190487643,-0.00546448863989646,-0.00195326718458588,8041.20452014286,60.1857152857143,1558.642857,0,0
"2020-01-13",8144.194336,58.080002,1548.400024,0,0,-0.00591306442536244,-0.00549451342119145,-0.00195708990529297,8094.77239128572,59.444287,1556.10001028571,0,0
"2020-01-14",8827.764648,58.23,1542.400024,0,0,0.0805965063211342,0.00257928089722625,-0.00388249478691716,8189.63985771429,58.8057154285714,1551.90000671429,0,0
"2020-01-15",8807.010742,57.810001,1552.099976,0,0,-0.00235374878586647,-0.007238897456598,0.00626917677777072,8293.51813614286,58.5485725714286,1551.142857,0,0
"2020-01-16",8723.786133,58.52,1549,0,0,-0.00949474628207625,0.0122067877594931,-0.00199927577734904,8414.19168528571,58.400001,1550.75714971429,0,0
"2020-01-17",8929.038086,58.540001,1558.800049,0,0,0.023255338701146,0.000341722194153071,0.00630676448212153,8523.11795485714,58.3285724285714,1550.942871,0,0
"2020-01-18",8942.808594,58.49000075,1558.20004275,0,0,0.00154102829681868,-0.00085448606843741,-0.000384989566730276,8652.44238285714,58.2957152023809,1551.47620929762,0,0
"2020-01-19",8706.245117,58.4400005,1557.6000365,0,0,-0.0268091025656894,-0.000855216839356743,-0.000385137840782868,8725.83537942857,58.3014293214286,1552.35716460714,0,0
"2020-01-20",8657.642578,58.39000025,1557.00003025,0,0,-0.00559813179900104,-0.000855948861280709,-0.000385286229090731,8799.18512828571,58.3457147857143,1553.58573692857,0,0
"2020-01-21",8745.894531,58.34,1556.400024,0,0,0.0101419279199106,-0.00085668213742629,-0.000385434731787093,8787.48939728571,58.3614290714286,1555.58573692857,0,0
"2020-01-22",8680.875977,56.740002,1555.300049,0,0,-0.0074619512157863,-0.0278084998103685,-0.000706992974909504,8769.47014514286,58.2085720714286,1556.04289021429,0,0
"2020-01-23",8406.515625,55.59,1564.599976,0,0,-0.0321153677735939,-0.020476135663829,0.00596170035590671,8724.14578685714,57.7900006428571,1558.27145821429,0,0
"2020-01-24",8445.43457,54.189999,1571.099976,1,1,0.00461893297129379,-0.0255069578409444,0.00414581076603415,8655.05957028571,57.1685717857143,1560.02859064286,0.142857142857143,2.39789527279837
"2020-01-25",8367.847656,53.839999,1573.00000033333,0,1,-0.00922930617528372,-0.00647970436151235,0.00120862859255677,8572.92229342857,56.5042858214286,1562.14287029762,0.142857142857143,-2.39789527279837
"2020-01-26",8596.830078,53.489999,1574.90002466667,3,4,0.0269968381181069,-0.00652196491484558,0.0012071695727176,8557.29157357143,55.79714275,1564.61429717857,0.571428571428571,3.43398720448515
"2020-01-27",8909.819336,53.139999,1576.800049,0,4,0.0357604250039181,-0.00656478033462404,0.00120571407120096,8593.31682471429,55.0471425714286,1567.44287128571,0.571428571428571,-3.43398720448515
"2020-01-28",9358.589844,53.48,1569.199951,0,4,0.0491406567132469,0.00637783072029086,-0.00483160380481085,8680.84472657143,54.3528568571429,1569.27143228571,0.571428571428571,0
"2020-01-29",9316.629883,53.330002,1569.800049,1,5,-0.00449365867940266,-0.00280869011888818,0.000382349797585668,8771.66671314286,53.865714,1571.34286085714,0.714285714285714,2.39789527279837
"2020-01-30",9508.993164,52.139999,1583.5,0,5,0.0204370368913835,-0.0225666727886318,0.00868933307181408,8929.16350442857,53.3728567142857,1574.04286428571,0.714285714285714,-2.39789527279837
