"","Date","Category","RMSE"
"128","2021/04","Information.Technology",171562135.476556
"129","2020/01","Communication.Services",0.414557329608813
"130","2020/02","Communication.Services",2.09348812205635
"131","2020/03","Communication.Services",51317735.979264
"132","2020/04","Communication.Services",7533457.40452384
"133","2020/05","Communication.Services",8969380.84957911
"134","2020/06","Communication.Services",48448810.3790365
"135","2020/07","Communication.Services",41255842.0174193
"136","2020/08","Communication.Services",46271392.6057088
"137","2020/09","Communication.Services",41842920.167528
"138","2020/10","Communication.Services",248842901.645849
"139","2020/11","Communication.Services",609551277.989504
"140","2020/12","Communication.Services",908403076.421263
"141","2021/01","Communication.Services",2004004082.10236
"142","2021/02","Communication.Services",385323586.088909
"143","2021/03","Communication.Services",108953951.516692
"144","2021/04","Communication.Services",176516718.988582
"145","2020/01","Utilities",0.353744613008842
"146","2020/02","Utilities",1.95277253499409
"147","2020/03","Utilities",54087858.4128551
"148","2020/04","Utilities",8602931.43519417
"149","2020/05","Utilities",11547234.1178569
"150","2020/06","Utilities",19271627.620079
"151","2020/07","Utilities",40017089.4310986
"152","2020/08","Utilities",43586238.6702136
"153","2020/09","Utilities",41183891.5484529
"154","2020/10","Utilities",211603004.147608
"155","2020/11","Utilities",905601309.331111
"156","2020/12","Utilities",877591081.225497
"157","2021/01","Utilities",1965210083.48959
"158","2021/02","Utilities",326134062.542983
"159","2021/03","Utilities",115871628.483824
"160","2021/04","Utilities",171613212.378672
"161","2020/01","Real.Estate",0.406004226018328
"162","2020/02","Real.Estate",2.00905999411908
"163","2020/03","Real.Estate",48965932.2431755
"164","2020/04","Real.Estate",8546677.74794147
"165","2020/05","Real.Estate",11800444.4247633
"166","2020/06","Real.Estate",33655539.350354
"167","2020/07","Real.Estate",61250173.7706084
"168","2020/08","Real.Estate",61590138.3468607
"169","2020/09","Real.Estate",40485346.7765176
"170","2020/10","Real.Estate",81654729.9381483
"171","2020/11","Real.Estate",500560482.857437
"172","2020/12","Real.Estate",906330405.553725
"173","2021/01","Real.Estate",1092693290.94838
"174","2021/02","Real.Estate",568252149.943266
"175","2021/03","Real.Estate",116106670.818933
"176","2021/04","Real.Estate",143480684.23932
